Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13
Singapore,"4,427","5,050","5,992","6,588","8,014","9,125","10,141","11,178","12,075","12,693","13,624","14,423","14,951","15,641","16,169","17,101","17,548","18,205","18,778","19,410","20,198","20,939","21,707","22,460","23,336","23,787","24,671","25,346","26,098","26,891","27,356","28,038","28,343","28,794","29,364","29,812","30,426","31,068","31,616","31,960","32,343","32,876","33,249","33,860","34,366","34,884","35,292","35,836","36,405","36,922","37,183","37,527","37,910","38,296","38,514","38,965","39,387","39,850","40,197","40,604","40,818","40,969","41,216","41,473","41,615","41,833","42,095","42,313","42,432","42,623","42,736","42,955","43,246","43,459","43,661","43,907","44,122","44,310","44,479","44,664","44,800","44,983","45,140","45,298","45,423","45,613","45,783","45,961","46,283","46,629","46,878","47,126","47,453","47,655","47,912","48,035","48,434","48,744","49,098","49,375","49,888","50,369","50,838","51,197","51,531","51,809","52,205","52,512","52,825","53,051","53,346","54,254","54,555","54,797","54,929","55,104","55,292","55,353","55,395","55,497"
Japan,"9,231","9,787","10,296","10,797","11,135","11,512","11,950","12,368","12,712","13,231","13,441","13,614","13,736","13,895","14,088","14,305","14,571","14,877","15,078","15,253","15,253","15,477","15,575","15,663","15,777","15,847","15,968","16,049","16,120","16,203","16,237","16,285","16,305","16,367","16,385","16,424","16,513","16,536","16,550","16,581","16,623","16,651","16,683","16,719","16,804","16,851","16,884","16,930","16,986","17,018","17,064","17,103","17,141","17,174","17,210","17,251","17,292","17,332","17,382","17,429","17,502","17,587","17,628","17,668","17,740","17,799","17,864","17,916","17,968","18,024","18,110","18,197","18,297","18,390","18,476","18,593","18,723","18,874","19,068","19,282","19,522","19,775","19,981","20,174","20,371","20,719","21,129","21,502","21,868","22,220","22,508","22,890","23,473","24,132","24,642","25,096","25,736","26,303","27,029","27,956","28,786","29,382","29,989","30,961","31,901","33,049","34,372","35,836","36,689","38,687","39,858","41,129","42,263","43,815","45,439","46,783","47,990","48,928","50,210","51,147"
Chile,"8,807","9,252","9,730","10,088","10,507","10,832","11,296","11,812","12,306","12,858","13,331","13,813","14,365","14,885","16,023","17,008","18,435","19,663","20,643","22,016","23,048","24,581","25,972","27,219","28,866","30,063","31,721","34,381","37,040","39,542","41,428","43,781","46,059","49,579","53,617","57,581","61,857","65,393","69,102","73,997","77,961","82,289","86,943","90,638","94,858","99,688","105,159","108,686","113,628","118,292","122,499","127,745","134,150","138,846","142,759","148,496","154,092","160,846","167,355","174,293","179,436","184,449","220,628","225,103","231,393","236,748","242,355","246,963","250,767","254,416","259,064","263,360","267,766","271,982","275,999","279,393","282,043","284,541","288,089","291,847","295,532","298,557","301,019","303,083","306,216","309,274","312,029","315,041","317,657","319,493","321,205","323,698","326,539","328,846","330,930","333,029","334,683","336,402","338,759","341,304","343,592","345,790","347,923","349,800","351,575","353,536","355,667","357,658","359,731","361,493","362,962","364,723","366,671","368,825","371,023","373,056","375,044","376,616","378,168","380,034"
Pakistan,"6,919","7,025","7,638","8,348","8,892","9,565","10,076","11,057","11,940","12,723","13,328","13,915","14,612","15,525","16,473","18,092","19,022","20,084","20,941","22,049","23,214","24,644","26,435","28,736","30,334","30,941","32,674","35,298","35,788","37,218","38,799","40,151","42,125","43,966","45,898","48,091","50,694","52,437","54,601","56,349","57,705","59,151","61,227","64,028","66,457","69,496","72,460","76,398","80,463","85,264","89,249","93,983","98,943","103,671","108,317","113,702","119,536","125,933","132,405","139,230","144,478","148,921","154,760","160,118","165,062","171,666","176,617","181,088","185,034","188,926","192,970","195,745","198,883","202,955","206,512","209,337","213,470","217,809","221,896","225,283","228,474","231,818","234,509","237,489","240,848","243,599","246,351","248,872","251,625","253,604","255,769","257,914","259,999","261,916","263,496","265,083","266,096","267,428","269,191","270,400","271,887","273,113","274,289","275,225","276,288","277,402","278,305","279,146","279,698","280,029","280,461","281,136","281,863","282,645","283,487","284,121","284,660","285,191","285,921","286,674"
Poland,"7,918","8,379","8,742","9,287","9,593","9,856","10,169","10,511","10,892","11,273","11,617","11,902","12,218","12,640","12,877","13,105","13,375","13,693","14,006","14,431","14,740","15,047","15,366","15,651","15,996","16,326","16,921","17,204","17,615","18,016","18,257","18,529","18,885","19,268","19,739","20,143","20,619","20,931","21,326","21,631","22,074","22,473","22,825","23,155","23,571","23,786","24,165","24,395","24,687","25,048","25,410","25,986","26,561","27,160","27,560","27,842","28,201","28,577","29,017","29,392","29,788","30,195","30,701","31,015","31,316","31,620","31,931","32,227","32,527","32,821","33,119","33,395","33,714","33,907","34,154","34,393","34,775","35,146","35,405","35,719","35,950","36,155","36,412","36,689","36,951","37,216","37,521","37,891","38,190","38,457","38,721","39,054","39,407","39,746","40,104","40,383","40,782","41,162","41,580","42,038","42,622","43,065","43,402","43,904","44,416","45,031","45,688","46,346","46,894","47,469","48,149","48,789","49,515","50,324","51,167","51,791","52,410","52,961","53,676","54,487"
Romania,"7,707","8,067","8,418","8,746","8,936","9,242","9,710","10,096","10,417","10,635","11,036","11,339","11,616","11,978","12,240","12,567","12,732","13,163","13,512","13,837","14,107","14,499","14,811","15,131","15,362","15,588","15,778","16,002","16,247","16,437","16,704","16,871","17,036","17,191","17,387","17,585","17,712","17,857","18,070","18,283","18,429","18,594","18,791","18,982","19,133","19,257","19,398","19,517","19,669","19,907","20,103","20,290","20,479","20,604","20,749","20,945","21,182","21,404","21,679","21,999","22,165","22,415","22,760","23,080","23,400","23,730","24,045","24,291","24,505","24,826","25,286","25,697","26,022","26,313","26,582","26,970","27,296","27,746","28,166","28,582","28,973","29,223","29,620","30,175","30,789","31,381","32,079","32,535","32,948","33,585","34,226","35,003","35,802","36,691","37,458","38,139","39,133","40,163","41,275","42,394","43,678","44,798","45,902","47,053","48,235","49,591","50,886","52,111","53,186","54,009","55,241","56,550","57,895","59,273","60,623","61,768","62,547","63,762","65,177","66,631"
S. Korea,"10,613","10,635","10,653","10,661","10,674","10,683","10,694","10,702","10,708","10,718","10,728","10,738","10,752","10,761","10,765","10,774","10,780","10,793","10,801","10,804","10,806","10,810","10,822","10,840","10,874","10,909","10,936","10,962","10,991","11,018","11,037","11,050","11,065","11,078","11,110","11,122","11,142","11,165","11,190","11,206","11,225","11,265","11,344","11,402","11,441","11,468","11,503","11,541","11,590","11,629","11,668","11,719","11,776","11,814","11,852","11,902","11,947","12,003","12,051","12,085","12,121","12,155","12,198","12,257","12,306","12,373","12,421","12,438","12,484","12,535","12,563","12,602","12,653","12,715","12,757","12,800","12,850","12,904","12,967","13,030","13,091","13,137","13,181","13,243","13,293","13,338","13,373","13,417","13,479","13,512","13,551","13,612","13,672","13,711","13,745","13,771","13,816","13,879","13,938","13,979","14,092","14,150","14,175","14,203","14,251","14,269","14,305","14,336","14,366","14,389","14,423","14,456","14,499","14,519","14,562","14,598","14,626","14,660","14,714","14,770"
Belarus,"4,204","4,779","4,779","4,779","6,264","6,723","7,281","8,022","8,773","9,590","10,463","11,289","12,208","13,181","14,027","14,917","15,828","16,705","17,489","18,350","19,255","20,168","21,101","22,052","22,973","23,906","24,873","25,825","26,772","27,730","28,681","29,650","30,572","31,508","32,426","33,371","34,303","35,244","36,198","37,144","38,059","38,956","39,858","40,764","41,658","42,556","43,403","44,255","45,116","45,981","46,868","47,751","48,630","49,453","50,265","51,066","51,816","52,520","53,241","53,973","54,680","55,369","56,032","56,657","57,333","57,936","58,505","59,023","59,487","59,945","60,382","60,713","61,095","61,475","61,790","62,118","62,424","62,698","62,997","63,270","63,554","63,804","64,003","64,224","64,411","64,604","64,767","64,932","65,114","65,269","65,443","65,623","65,782","65,953","66,095","66,213","66,348","66,521","66,688","66,846","67,002","67,132","67,251","67,366","67,518","67,665","67,808","67,946","68,067","68,166","68,250","68,376","68,503","68,614","68,738","68,850","68,947","69,005","69,102","69,203"
UAE,"5,825","6,302","6,302","6,781","7,265","7,755","8,238","8,756","9,281","9,813","10,349","10,839","11,380","11,929","12,481","13,038","13,599","14,163","14,730","15,192","15,738","16,240","16,793","17,417","18,198","18,878","19,661","20,386","21,084","21,831","22,627","23,358","24,190","25,063","26,004","26,898","27,892","28,704","29,485","30,307","31,086","31,969","32,532","33,170","33,896","34,557","35,192","35,788","36,359","37,018","37,642","38,268","38,808","39,376","39,904","40,507","40,986","41,499","41,990","42,294","42,636","42,982","43,364","43,752","44,145","44,533","44,925","45,303","45,683","46,133","46,563","46,973","47,360","47,797","48,246","48,667","49,069","49,469","50,141","50,857","51,540","52,068","52,600","53,045","53,577","54,050","54,453","54,854","55,198","55,573","55,848","56,129","56,422","56,711","56,922","57,193","57,498","57,734","57,988","58,249","58,562","58,913","59,177","59,546","59,921","60,223","60,506","60,760","60,999","61,163","61,352","61,606","61,845","62,061","62,300","62,525","62,704","62,966","63,212","63,489"
Qatar,"4,103","4,663","5,008","5,448","6,015","6,533","7,141","7,764","8,525","9,358","10,287","11,244","11,921","12,564","13,409","14,096","14,872","15,551","16,191","17,142","17,972","18,890","20,201","21,331","22,520","23,623","25,149","26,539","28,272","29,425","30,972","32,604","33,969","35,606","37,097","38,651","40,481","42,213","43,714","45,465","47,207","48,947","50,914","52,907","55,262","56,910","58,433","60,259","62,160","63,741","65,495","67,195","68,790","70,158","71,879","73,595","75,071","76,588","78,416","79,602","80,876","82,077","83,174","84,441","85,462","86,488","87,369","88,403","89,579","90,778","91,838","92,784","93,663","94,413","95,106","96,088","97,003","97,897","98,653","99,183","99,799","100,345","100,945","101,553","102,110","102,630","103,128","103,598","104,016","104,533","104,983","105,477","105,898","106,308","106,648","107,037","107,430","107,871","108,244","108,638","109,036","109,305","109,597","109,880","110,153","110,460","110,695","110,911","111,107","111,322","111,538","111,805","112,092","112,383","112,650","112,947","113,262","113,646","113,938","114,281"
Indonesia,"5,516","5,923","6,248","6,575","6,760","7,135","7,418","7,775","8,211","8,607","8,882","9,096","9,511","9,771","10,118","10,551","10,843","11,192","11,587","12,071","12,438","12,776","13,112","13,645","14,032","14,265","14,749","15,438","16,006","16,496","17,025","17,514","18,010","18,496","19,189","20,162","20,796","21,745","22,271","22,750","23,165","23,851","24,538","25,216","25,773","26,473","26,940","27,549","28,233","28,818","29,521","30,514","31,186","32,033","33,076","34,316","35,295","36,406","37,420","38,277","39,294","40,400","41,431","42,762","43,803","45,029","45,891","46,845","47,896","49,009","50,187","51,427","52,812","54,010","55,092","56,385","57,770","59,394","60,695","62,142","63,749","64,958","66,226","68,079","70,736","72,347","74,018","75,699","76,981","78,572","80,094","81,668","83,130","84,882","86,521","88,214","89,869","91,751","93,657","95,418","97,286","98,778","100,303","102,051","104,432","106,336","108,376","109,936","111,455","113,134","115,056","116,871","118,753","121,226","123,503","125,396","127,083","128,776","130,718","132,816"
Ukraine,"4,161","4,662","5,106","5,449","5,710","6,125","6,592","7,170","7,647","8,125","8,617","9,009","9,410","9,866","10,406","10,861","11,411","11,913","12,331","12,697","13,184","13,691","14,195","14,710","15,232","15,648","16,023","16,425","16,847","17,330","17,858","18,291","18,616","18,876","19,230","19,706","20,148","20,580","20,986","21,245","21,584","21,905","22,382","22,811","23,204","23,672","24,012","24,340","24,823","25,411","25,964","26,514","26,999","27,462","27,856","28,381","29,070","29,753","30,506","31,154","31,810","32,476","33,234","34,063","34,984","35,825","36,560","37,241","38,074","39,014","40,008","41,117","42,065","42,982","43,628","44,334","44,998","45,887","46,763","47,677","48,500","49,043","49,607","50,414","51,224","52,043","52,843","53,521","54,133","54,771","55,607","56,455","57,264","58,111","58,842","59,493","60,166","60,995","61,851","62,823","63,929","64,849","65,656","66,575","67,597","68,794","69,884","71,056","72,168","73,158","74,219","75,490","76,808","78,261","79,750","80,949","81,957","83,115","84,548","86,140"
Denmark,"6,879","7,073","7,242","7,384","7,515","7,695","7,912","8,073","8,210","8,445","8,575","8,698","8,851","9,008","9,158","9,311","9,407","9,523","9,670","9,821","9,938","10,083","10,218","10,319","10,429","10,513","10,591","10,667","10,713","10,791","10,858","10,927","10,968","11,044","11,117","11,182","11,230","11,289","11,360","11,387","11,428","11,480","11,512","11,593","11,633","11,669","11,699","11,734","11,771","11,811","11,875","11,924","11,948","11,962","12,001","12,016","12,035","12,099","12,139","12,193","12,217","12,250","12,294","12,344","12,391","12,391","12,391","12,527","12,561","12,615","12,636","12,675","12,675","12,675","12,751","12,768","12,794","12,815","12,832","12,832","12,832","12,878","12,888","12,900","12,916","12,946","12,946","12,946","13,037","13,061","13,092","13,124","13,173","13,173","13,173","13,262","13,302","13,348","13,390","13,438","13,438","13,438","13,547","13,577","13,634","13,725","13,789","13,789","13,789","13,996","14,073","14,185","14,306","14,442","14,442","14,442","14,815","14,959","15,070","15,214"
Serbia,"5,318","5,690","5,994","6,318","6,630","6,890","7,114","7,276","7,483","7,779","8,042","8,275","8,497","8,724","9,009","9,205","9,362","9,464","9,557","9,677","9,791","9,848","9,943","10,032","10,114","10,176","10,243","10,295","10,374","10,438","10,496","10,610","10,699","10,733","10,833","10,919","11,024","11,092","11,159","11,193","11,227","11,275","11,300","11,354","11,381","11,412","11,430","11,454","11,523","11,571","11,667","11,741","11,823","11,896","11,965","12,031","12,102","12,175","12,251","12,310","12,367","12,426","12,522","12,616","12,709","12,803","12,894","12,990","13,092","13,235","13,372","13,565","13,792","14,046","14,288","14,564","14,836","15,195","15,504","15,829","16,131","16,420","16,719","17,076","17,342","17,728","18,073","18,360","18,639","18,983","19,334","19,717","20,109","20,498","20,894","21,253","21,605","22,031","22,443","22,852","23,263","23,730","24,141","24,520","24,892","25,213","25,552","25,882","26,193","26,451","26,738","27,033","27,332","27,608","27,863","28,099","28,262","28,497","28,751","28,998"
Philippines,"5,660","5,878","6,087","6,259","6,459","6,599","6,710","6,981","7,192","7,294","7,579","7,777","7,958","8,212","8,488","8,772","8,928","9,223","9,485","9,684","10,004","10,343","10,463","10,610","10,794","11,086","11,350","11,618","11,876","12,091","12,305","12,513","12,718","12,942","13,221","13,434","13,597","13,777","14,035","14,319","14,669","15,049","15,588","16,634","17,224","18,086","18,638","18,997","19,748","20,382","20,626","21,340","21,895","22,474","22,992","23,732","24,175","24,787","25,392","25,930","26,420","26,781","27,238","27,799","28,459","29,400","30,052","30,682","31,825","32,295","33,069","34,073","34,803","35,455","36,438","37,514","38,511","38,805","40,336","41,830","44,254","46,333","47,873","50,359","51,754","52,914","54,222","54,222","56,911","57,458","58,768","61,160","62,947","65,215","67,377","68,813","70,675","72,190","74,341","76,444","78,412","80,383","82,040","83,612","85,420","89,291","93,354","98,153","103,185","106,241","112,518","115,980","119,375","122,754","126,885","129,680","136,551","139,305","143,524","147,444"
Norway,"6,905","6,937","7,036","7,078","7,156","7,241","7,338","7,401","7,463","7,493","7,527","7,599","7,660","7,710","7,738","7,783","7,809","7,847","7,904","7,955","7,996","8,034","8,070","8,099","8,105","8,132","8,157","8,175","8,196","8,219","8,237","8,249","8,257","8,267","8,281","8,309","8,332","8,346","8,352","8,364","8,383","8,401","8,411","8,422","8,437","8,440","8,446","8,455","8,477","8,504","8,522","8,531","8,547","8,561","8,576","8,594","8,608","8,620","8,628","8,631","8,647","8,660","8,692","8,708","8,726","8,742","8,745","8,751","8,772","8,788","8,788","8,832","8,846","8,855","8,862","8,879","8,896","8,902","8,921","8,926","8,930","8,936","8,947","8,950","8,965","8,974","8,977","8,981","8,984","9,001","9,011","9,015","9,025","9,028","9,028","9,034","9,053","9,059","9,085","9,092","9,111","9,117","9,132","9,150","9,172","9,208","9,240","9,253","9,268","9,334","9,362","9,409","9,468","9,551","9,599","9,638","9,684","9,751","9,783","9,851"
Czechia,"6,433","6,549","6,606","6,746","6,900","7,033","7,132","7,187","7,273","7,352","7,404","7,445","7,504","7,579","7,682","7,737","7,755","7,781","7,819","7,896","7,974","8,031","8,077","8,095","8,123","8,176","8,198","8,269","8,351","8,406","8,455","8,475","8,586","8,647","8,721","8,754","8,813","8,890","8,955","9,002","9,050","9,086","9,140","9,196","9,230","9,268","9,302","9,364","9,438","9,494","9,529","9,567","9,628","9,697","9,751","9,824","9,855","9,938","9,991","10,024","10,064","10,111","10,162","10,280","10,406","10,448","10,498","10,523","10,650","10,777","10,870","11,038","11,298","11,603","11,805","11,954","12,046","12,178","12,319","12,440","12,515","12,566","12,685","12,814","12,919","13,001","13,115","13,174","13,238","13,341","13,475","13,612","13,742","13,855","13,945","14,098","14,324","14,570","14,800","15,081","15,212","15,324","15,516","15,552","16,093","16,371","16,574","16,699","16,800","17,008","17,286","17,529","17,731","18,060","18,235","18,353","18,494","18,783","19,075","19,401"
Australia,"6,468","6,533","6,586","6,612","6,625","6,645","6,649","6,667","6,675","6,695","6,716","6,720","6,738","6,746","6,754","6,767","6,781","6,801","6,825","6,849","6,875","6,896","6,914","6,929","6,941","6,948","6,964","6,980","6,989","7,019","7,036","7,045","7,060","7,068","7,079","7,081","7,095","7,111","7,114","7,118","7,133","7,139","7,150","7,173","7,185","7,195","7,204","7,221","7,229","7,240","7,251","7,255","7,260","7,265","7,267","7,276","7,285","7,290","7,302","7,320","7,335","7,347","7,370","7,391","7,409","7,436","7,461","7,474","7,492","7,521","7,558","7,595","7,641","7,686","7,767","7,836","7,920","8,001","8,255","8,362","8,449","8,586","8,755","8,886","9,059","9,359","9,553","9,796","9,980","10,250","10,487","10,810","11,235","11,441","11,802","12,069","12,428","12,896","13,306","13,595","13,950","14,403","14,935","15,304","15,582","16,303","16,905","17,282","17,923","18,318","18,730","19,444","19,862","20,272","20,698","21,084","21,397","21,713","22,127","22,358"
Dominican Republic,"3,755","4,126","4,335","4,680","4,964","5,044","5,300","5,543","5,749","5,926","6,135","6,293","6,416","6,652","6,972","7,288","7,578","7,954","8,235","8,480","8,807","9,095","9,376","9,882","10,347","10,634","10,900","11,196","11,320","11,739","12,110","12,314","12,725","13,223","13,477","13,657","13,989","14,422","14,801","15,073","15,264","15,723","16,068","16,531","16,908","17,285","17,572","17,752","18,040","18,319","18,708","19,195","19,600","20,126","20,415","20,808","21,437","22,008","22,572","22,962","23,271","23,686","24,105","24,645","25,068","25,778","26,677","27,370","27,936","28,631","29,141","29,764","30,619","31,373","31,816","32,568","33,387","34,197","35,148","36,184","37,425","38,128","38,430","39,588","40,790","41,915","43,114","44,532","45,506","46,305","47,671","48,743","50,113","51,519","52,855","53,956","54,797","56,043","57,615","59,077","60,896","62,908","64,156","64,690","66,182","67,915","69,649","71,415","72,243","73,117","74,295","75,660","76,536","77,709","78,778","79,732","80,499","81,094","82,224","83,134"
Malaysia,"5,182","5,251","5,305","5,389","5,425","5,482","5,532","5,603","5,691","5,742","5,780","5,820","5,851","5,945","6,002","6,071","6,176","6,298","6,353","6,383","6,428","6,467","6,535","6,589","6,656","6,726","6,742","6,779","6,819","6,855","6,872","6,894","6,941","6,978","7,009","7,059","7,137","7,185","7,245","7,417","7,604","7,619","7,629","7,732","7,762","7,819","7,857","7,877","7,970","8,247","8,266","8,303","8,322","8,329","8,336","8,338","8,369","8,402","8,445","8,453","8,494","8,505","8,515","8,529","8,535","8,556","8,572","8,587","8,590","8,596","8,600","8,606","8,616","8,634","8,637","8,639","8,640","8,643","8,648","8,658","8,663","8,668","8,674","8,677","8,683","8,696","8,704","8,718","8,725","8,729","8,734","8,737","8,755","8,764","8,779","8,800","8,815","8,831","8,840","8,861","8,884","8,897","8,904","8,943","8,956","8,964","8,976","8,985","8,999","9,001","9,002","9,023","9,038","9,063","9,070","9,083","9,094","9,103","9,114","9,129"
Panama,"3,751","4,016","4,210","4,273","4,467","4,658","4,821","4,992","5,166","5,338","5,538","5,779","6,021","6,200","6,378","6,532","6,720","7,090","7,197","7,387","7,523","7,731","7,868","8,070","8,282","8,448","8,616","8,783","8,944","9,118","9,268","9,449","9,606","9,867","9,977","10,116","10,267","10,577","10,926","11,183","11,447","11,728","12,131","12,531","13,018","13,463","13,837","14,095","14,609","15,044","15,463","16,004","16,425","16,854","17,233","17,889","18,586","19,211","20,059","20,686","21,422","21,962","22,597","23,351","24,274","25,222","26,030","26,752","27,314","28,030","29,037","29,905","30,658","31,686","32,785","33,550","34,463","35,237","35,995","36,983","38,149","39,334","40,291","41,251","42,216","43,257","44,332","45,633","47,173","48,096","49,243","50,373","51,408","52,261","53,468","54,426","55,153","55,906","56,817","57,993","58,864","60,296","61,442","62,223","63,269","64,191","65,256","66,383","67,453","68,456","69,424","70,231","71,418","72,560","73,651","74,492","75,394","76,464","77,377","78,446"
Bangladesh,"1,572","1,838","2,144","2,456","2,948","3,382","3,772","4,186","4,689","4,998","5,416","5,913","6,462","7,103","7,667","8,238","8,790","9,455","10,143","10,929","11,719","12,425","13,134","13,770","14,657","15,691","16,660","17,822","18,863","20,065","20,995","22,268","23,870","25,121","26,738","28,511","30,205","32,078","33,610","35,585","36,751","38,292","40,321","42,844","44,608","47,153","49,534","52,445","55,140","57,563","60,391","63,026","65,769","68,504","71,675","74,865","78,052","81,523","84,379","87,520","90,619","94,481","98,489","102,292","105,535","108,775","112,306","115,786","119,198","122,660","126,606","130,474","133,978","137,787","141,801","145,483","149,258","153,277","156,391","159,679","162,417","165,618","168,645","172,134","175,494","178,443","181,129","183,795","186,894","190,057","193,590","196,323","199,357","202,066","204,525","207,453","210,510","213,254","216,110","218,658","221,178","223,453","226,225","229,185","232,194","234,889","237,661","239,860","240,746","242,102","244,020","246,674","249,651","252,502","255,113","257,600","260,507","263,503","266,498","269,115"
Colombia,"3,233","3,439","3,621","3,792","3,977","4,149","4,356","4,561","4,881","5,142","5,379","5,597","5,949","6,207","6,507","7,006","7,285","7,668","7,973","8,613","8,959","9,456","10,051","10,495","11,063","11,613","12,272","12,930","13,610","14,216","14,939","15,574","16,295","16,935","17,687","18,330","19,131","20,177","21,175","21,981","23,003","24,104","25,366","26,688","28,236","29,383","30,493","31,833","33,354","35,120","36,635","38,027","39,236","40,719","42,078","43,682","45,212","46,858","48,746","50,939","53,063","54,931","57,046","60,217","63,276","65,633","68,652","71,183","73,572","77,113","80,599","84,442","88,591","91,769","95,043","97,846","102,009","106,110","109,505","113,389","117,110","120,281","124,494","128,638","133,973","140,776","145,362","150,445","154,277","159,898","165,169","173,206","182,140","190,700","197,278","204,005","211,038","218,428","226,373","233,541","240,795","248,976","257,101","267,385","276,055","286,020","295,508","306,181","317,651","327,850","334,979","345,714","357,710","367,196","376,870","387,481","397,623","410,453","422,519","433,805"
Finland,"3,369","3,489","3,681","3,783","3,868","4,014","4,129","4,284","4,395","4,475","4,576","4,695","4,740","4,906","4,995","5,051","5,176","5,254","5,327","5,412","5,573","5,673","5,738","5,880","5,962","5,984","6,003","6,054","6,145","6,228","6,286","6,347","6,380","6,399","6,443","6,493","6,537","6,568","6,579","6,599","6,628","6,692","6,743","6,776","6,826","6,859","6,885","6,887","6,911","6,911","6,941","6,964","6,981","7,001","7,025","7,040","7,064","7,073","7,087","7,104","7,108","7,112","7,117","7,119","7,133","7,142","7,143","7,144","7,155","7,167","7,172","7,191","7,198","7,198","7,209","7,214","7,236","7,241","7,242","7,248","7,253","7,257","7,262","7,265","7,273","7,279","7,291","7,294","7,295","7,296","7,293","7,293","7,301","7,318","7,335","7,340","7,351","7,362","7,372","7,380","7,388","7,393","7,398","7,404","7,414","7,423","7,432","7,443","7,453","7,466","7,483","7,512","7,532","7,554","7,568","7,584","7,601","7,623","7,642","7,683"
South Africa,"2,605","2,783","3,034","3,158","3,300","3,465","3,635","3,953","4,220","4,361","4,546","4,793","4,996","5,350","5,647","5,951","6,336","6,783","7,220","7,572","7,808","8,232","8,895","9,420","10,015","10,652","11,350","12,074","12,739","13,524","14,355","15,515","16,433","17,200","18,003","19,137","20,125","21,343","22,583","23,615","24,264","25,937","27,403","29,240","30,967","32,683","34,357","35,812","37,525","40,792","43,434","45,973","48,285","50,879","52,991","55,421","58,568","61,927","65,736","70,038","73,533","76,334","80,412","83,890","87,715","92,681","97,302","101,590","106,108","111,796","118,375","124,590","131,800","138,134","144,264","151,209","159,333","168,061","177,124","187,977","196,750","205,721","215,855","224,665","238,339","250,687","264,184","276,242","287,796","298,292","311,049","324,221","337,594","350,879","364,328","373,628","381,798","394,948","408,052","421,996","434,200","445,433","452,529","459,761","471,123","482,169","493,183","503,290","511,485","516,862","521,318","529,877","538,184","545,476","553,188","559,859","563,598","566,109","568,919","572,865"
Egypt,"2,673","2,844","3,032","3,144","3,333","3,490","3,659","3,891","4,092","4,319","4,534","4,782","5,042","5,268","5,537","5,895","6,193","6,465","6,813","7,201","7,588","7,981","8,476","8,964","9,400","9,746","10,093","10,431","10,829","11,228","11,719","12,229","12,764","13,484","14,229","15,003","15,786","16,513","17,265","17,967","18,756","19,666","20,793","22,082","23,449","24,985","26,384","27,536","28,615","29,767","31,115","32,612","34,079","35,444","36,829","38,284","39,726","41,303","42,980","44,598","46,289","47,856","49,219","50,437","52,211","53,758","55,233","56,809","58,141","59,561","61,130","62,755","63,923","65,188","66,754","68,311","69,814","71,299","72,711","74,035","75,253","76,222","77,279","78,304","79,254","80,235","81,158","82,070","83,001","83,930","84,843","85,771","86,474","87,172","87,775","88,402","89,078","89,745","90,413","91,072","91,583","92,062","92,482","92,947","93,356","93,757","94,078","94,316","94,483","94,640","94,752","94,875","95,006","95,147","95,314","95,492","95,666","95,834","95,963","96,108"
Morocco,"2,283","2,564","2,685","2,855","3,046","3,209","3,446","3,568","3,758","3,897","4,065","4,120","4,252","4,321","4,423","4,569","4,729","4,903","5,053","5,219","5,408","5,548","5,711","5,910","6,063","6,281","6,418","6,512","6,607","6,652","6,741","6,870","6,952","7,023","7,133","7,211","7,332","7,406","7,433","7,532","7,577","7,601","7,643","7,714","7,780","7,807","7,833","7,866","7,922","8,003","8,071","8,151","8,224","8,302","8,437","8,508","8,537","8,610","8,692","8,793","8,885","8,931","8,997","9,074","9,613","9,839","9,977","10,172","10,344","10,907","11,338","11,633","11,877","12,052","12,290","12,533","12,636","12,969","13,288","13,822","14,215","14,379","14,607","14,771","15,079","15,328","15,542","15,745","15,936","16,097","16,262","16,545","16,726","17,015","17,236","17,562","17,742","17,962","18,264","18,834","19,645","20,278","20,887","21,387","22,213","23,259","24,322","25,015","25,537","26,196","27,217","28,500","29,644","30,662","32,007","33,237","34,063","35,195","36,694","37,935"
