Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13,August14,August15,August16,August17,August18,August19,August20,August21,August22,August23,August24,August25,August26,August27,August28,August29,August30,August31,September01,September02,September03,September04,September05,September06,September07,September08,September09,September10,September11,September12,September13,September14,September15,September16,September17,September18,September19,September20,September21,September22,September23,September24,September25,September26,September27,September28,September29,September30,October01,October02,October03,October04,October05,October06,October07,October08,October09,October10,October11,October12,October13,October14,October15,October16,October17,October18,October19,October20,October21,October22,October23,October24,October25,October26,October27,October28,October29,October30,October31,November01
Costa Rica,642,649,655,660,662,669,681,686,687,693,695,697,705,713,719,725,733,739,742,755,761,765,773,780,792,801,804,815,830,843,853,863,866,882,897,903,911,918,930,951,956,984,"1,000","1,022","1,047","1,056","1,084","1,105","1,157","1,194","1,228","1,263","1,318","1,342","1,375","1,461","1,538","1,612","1,662","1,715","1,744","1,796","1,871","1,939","2,058","2,127","2,213","2,277","2,368","2,515","2,684","2,836","2,979","3,130","3,269","3,459","3,753","4,023","4,311","4,621","4,996","5,241","5,486","5,836","6,485","6,845","7,231","7,596","8,036","8,482","8,986","9,546","9,969","10,551","11,114","11,534","11,811","12,361","13,129","13,669","14,600","15,229","15,841","16,344","16,800","17,290","17,820","18,187","18,975","19,402","19,837","20,417","21,070","22,081","22,802","23,286","23,872","24,508","25,057","26,129","26,931","27,737","28,465","29,084","29,643","30,409","31,075","32,134","33,084","33,820","34,463","35,305","36,307","37,292","38,485","39,699","39,699","41,287","42,184","43,305","44,458","45,680","46,920","46,920","48,780","49,897","51,224","52,549","53,969","55,454","55,454","57,361","58,137","59,516","60,818","62,374","63,712","63,712","65,602","66,689","68,059","69,459","70,816","72,049","72,049","73,714","74,604","75,760","76,828","77,829","79,182","79,182","81,129","82,142","83,497","84,828","86,053","87,439","87,439","89,223","90,238","91,780","93,152","94,348","95,514","95,514","97,075","97,922","99,425","100,616","101,826","103,088","103,088","104,460","105,322","106,553","107,570","108,866","109,971","109,971"
Kyrgyzstan,466,489,506,554,568,590,612,631,656,665,682,695,708,729,746,756,769,795,830,843,871,895,906,931,"1,002","1,016","1,037","1,044","1,082","1,111","1,117","1,138","1,216","1,243","1,270","1,313","1,350","1,365","1,403","1,433","1,468","1,520","1,594","1,662","1,722","1,748","1,817","1,845","1,871","1,899","1,936","1,974","2,007","2,032","2,055","2,093","2,129","2,166","2,207","2,285","2,372","2,472","2,562","2,657","2,789","2,981","3,151","3,356","3,519","3,726","3,954","4,204","4,513","4,748","5,017","5,296","5,735","6,261","6,767","7,094","7,377","7,691","8,141","8,486","8,847","9,358","9,910","10,629","11,117","11,444","11,977","12,498","13,101","24,606","26,532","27,143","28,251","29,359","30,349","31,247","32,124","32,813","33,296","33,844","34,592","35,223","35,805","36,299","36,719","37,129","37,541","38,110","38,659","39,162","39,587","39,919","40,177","40,455","40,759","41,069","41,373","41,645","41,856","41,991","42,146","42,325","42,507","42,703","42,889","43,023","43,126","43,245","43,358","43,459","43,587","43,712","43,820","43,898","43,958","44,036","44,135","44,199","44,316","44,403","44,458","44,526","44,613","44,684","44,761","44,828","44,881","44,928","44,999","45,072","45,153","45,244","45,335","45,416","45,471","45,542","45,630","45,757","45,932","46,090","46,251","46,355","46,522","46,669","46,841","47,056","47,184","47,428","47,635","47,799","48,097","48,342","48,617","48,924","49,230","49,528","49,871","50,201","50,589","51,020","51,490","52,044","52,526","52,910","53,459","54,006","54,588","55,144","55,750","56,170","56,738","57,276","57,798","58,394","58,878","58,878"
Senegal,335,342,350,367,377,412,442,479,545,614,671,736,823,882,933,"1,024","1,115","1,182","1,271","1,329","1,433","1,492","1,551","1,634","1,709","1,886","1,995","2,105","2,189","2,310","2,429","2,480","2,544","2,617","2,714","2,812","2,909","2,976","3,047","3,130","3,161","3,253","3,348","3,429","3,535","3,645","3,739","3,836","3,932","4,021","4,155","4,249","4,328","4,427","4,516","4,640","4,759","4,851","4,996","5,090","5,173","5,247","5,369","5,475","5,639","5,783","5,888","5,970","6,034","6,129","6,233","6,354","6,459","6,586","6,698","6,793","6,925","7,054","7,164","7,272","7,400","7,478","7,547","7,657","7,784","7,882","8,014","8,135","8,198","8,243","8,369","8,481","8,544","8,669","8,810","8,948","8,985","9,121","9,266","9,422","9,552","9,681","9,764","9,805","9,961","10,106","10,232","10,284","10,344","10,386","10,432","10,538","10,715","10,887","11,003","11,175","11,312","11,380","11,587","11,740","11,872","12,032","12,162","12,237","12,305","12,446","12,559","12,689","12,850","12,949","13,013","13,056","13,186","13,294","13,384","13,456","13,556","13,611","13,655","13,743","13,826","13,881","13,948","13,987","14,014","14,044","14,102","14,150","14,193","14,237","14,280","14,306","14,529","14,568","14,618","14,645","14,688","14,714","14,738","14,759","14,795","14,816","14,839","14,869","14,909","14,919","14,945","14,982","15,019","15,051","15,068","15,094","15,122","15,141","15,174","15,190","15,213","15,244","15,268","15,292","15,307","15,331","15,348","15,368","15,392","15,418","15,432","15,459","15,484","15,508","15,525","15,543","15,551","15,565","15,571","15,582","15,593","15,605","15,616","15,630"
Burkina Faso,546,557,565,576,581,600,609,616,629,629,632,635,638,641,645,649,652,662,672,688,729,736,744,748,751,760,766,773,773,780,782,796,796,796,809,812,814,814,814,832,832,845,847,847,847,847,847,881,884,885,888,888,889,890,891,891,892,892,892,894,894,895,899,899,900,901,903,903,907,919,934,941,941,959,959,962,962,967,980,987,987,"1,000","1,003","1,003","1,005","1,020","1,033","1,036","1,036","1,037","1,038","1,038","1,045","1,047","1,052","1,065","1,065","1,066","1,070","1,075","1,086","1,086","1,100","1,105","1,105","1,106","1,106","1,143","1,143","1,150","1,153","1,153","1,158","1,158","1,175","1,175","1,204","1,211","1,213","1,228","1,238","1,240","1,267","1,280","1,280","1,285","1,297","1,297","1,297","1,320","1,338","1,338","1,352","1,352","1,352","1,352","1,357","1,368","1,370","1,370","1,375","1,408","1,408","1,452","1,463","1,466","1,476","1,486","1,499","1,514","1,707","1,717","1,733","1,748","1,767","1,797","1,816","1,846","1,896","1,907","1,929","1,950","1,962","1,973","2,008","2,028","2,032","2,056","2,088","2,123","2,154","2,167","2,184","2,197","2,222","2,241","2,254","2,271","2,271","2,294","2,305","2,305","2,335","2,343","2,343","2,381","2,387","2,406","2,406","2,414","2,433","2,444","2,451","2,459","2,466","2,466","2,471","2,477","2,500","2,500"
Honduras,426,442,457,472,477,494,510,519,562,591,627,661,702,738,771,804,899,"1,010","1,055","1,178","1,270","1,461","1,685","1,771","1,830","1,972","2,080","2,080","2,255","2,318","2,460","2,565","2,646","2,798","2,955","3,100","3,204","3,477","3,743","3,950","4,189","4,401","4,640","4,752","4,886","5,094","5,202","5,362","5,527","5,690","5,880","5,971","6,155","6,327","6,450","6,935","7,360","7,669","8,132","8,455","8,858","9,178","9,656","10,299","10,739","11,258","12,306","12,772","13,356","13,943","14,571","15,366","15,994","17,007","18,082","18,818","19,558","20,262","21,120","22,116","22,921","23,943","24,665","25,428","25,978","26,384","27,053","27,583","28,090","28,579","29,106","30,036","30,867","31,745","32,793","33,835","34,611","35,345","36,102","36,902","37,559","38,438","39,276","39,741","40,460","40,944","41,426","42,014","42,685","43,197","43,794","44,299","45,098","45,755","46,365","46,973","47,454","47,872","48,403","48,657","49,042","49,467","49,979","50,502","50,995","51,670","52,298","52,819","53,381","53,983","54,511","55,479","55,877","56,649","57,669","58,810","59,645","60,174","61,014","61,769","62,526","63,158","63,798","64,352","64,764","64,814","65,218","65,597","65,802","66,049","67,136","67,789","68,620","68,620","69,660","70,120","70,611","71,143","71,616","72,075","72,306","72,675","73,193","73,840","74,548","75,109","75,537","76,098","76,900","77,598","78,269","78,788","79,629","80,020","80,662","81,160","81,672","82,552","83,146","84,081","84,413","84,852","85,458","86,089","86,691","87,594","88,425","89,381","90,232","91,078","91,509","91,882","92,724","93,214","93,966","94,623","95,199","96,150","96,888","97,404"
Uruguay,502,502,517,517,535,543,549,549,563,563,596,606,620,625,643,648,652,655,657,670,673,684,694,702,707,711,717,719,724,732,733,734,737,738,746,749,753,764,769,787,789,803,811,816,821,823,825,826,828,832,834,845,845,845,846,847,847,847,847,848,848,849,849,850,853,859,876,882,885,902,907,919,924,929,932,936,943,947,952,955,956,960,965,974,977,985,986,987,989,997,"1,009","1,026","1,037","1,044","1,054","1,064","1,096","1,117","1,141","1,166","1,174","1,192","1,202","1,218","1,237","1,243","1,264","1,278","1,286","1,291","1,300","1,309","1,318","1,325","1,335","1,353","1,364","1,385","1,393","1,409","1,421","1,434","1,440","1,457","1,485","1,493","1,506","1,516","1,521","1,527","1,533","1,536","1,543","1,551","1,556","1,570","1,585","1,595","1,611","1,626","1,636","1,653","1,669","1,679","1,693","1,712","1,741","1,759","1,773","1,780","1,808","1,812","1,827","1,856","1,876","1,890","1,904","1,917","1,927","1,934","1,946","1,959","1,967","1,998","2,008","2,010","2,033","2,046","2,061","2,097","2,122","2,145","2,155","2,177","2,206","2,226","2,251","2,268","2,294","2,313","2,337","2,388","2,417","2,450","2,501","2,531","2,560","2,623","2,663","2,701","2,759","2,807","2,851","2,872","2,916","2,981","3,044","3,082","3,124","3,149"
San Marino,426,435,455,461,462,476,488,501,513,513,538,538,553,563,569,580,580,582,582,589,608,622,623,637,628,628,638,643,648,652,653,654,654,655,656,658,661,665,665,666,666,667,670,671,671,671,671,672,674,678,680,680,680,687,688,691,691,694,694,694,694,694,696,696,696,696,696,697,698,698,698,698,698,698,698,698,698,698,698,698,698,698,698,698,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,702,704,704,704,704,704,704,710,710,710,710,710,710,715,715,735,735,735,716,716,716,716,722,722,722,722,722,722,723,723,723,723,723,723,723,723,723,727,727,727,727,727,727,732,732,732,732,732,732,732,732,741,741,741,741,741,741,741,759,759,759,759,766,766,774,802,819,819,819,852,852,852,928,928,928,928
Channel Islands,457,470,484,488,488,496,498,521,523,525,525,525,530,537,537,538,543,544,544,545,545,545,545,545,545,546,547,548,549,549,554,554,555,555,558,558,558,558,558,559,559,560,560,560,560,560,560,560,561,561,561,563,563,564,565,565,565,565,565,565,568,568,570,570,570,570,570,570,570,571,571,571,571,571,571,571,571,571,571,571,571,577,577,577,577,577,577,577,581,581,581,583,583,583,583,583,583,583,583,584,584,584,584,587,587,587,587,587,587,591,595,596,597,597,597,597,599,599,603,603,607,607,607,609,609,613,613,614,614,614,616,620,623,623,625,625,625,625,630,631,631,631,631,626,628,629,631,631,633,633,633,633,639,639,644,644,644,644,652,652,654,655,656,656,656,664,664,665,665,677,678,678,686,695,698,699,699,699,699,737,741,745,748,748,748,748,767,768,775,784,795,795,795,796,822,833,836,841,841,841
Sri Lanka,238,244,254,271,304,310,330,368,417,452,523,588,619,649,663,690,702,718,751,771,797,823,835,847,856,863,889,893,925,935,957,981,992,"1,023","1,028","1,048","1,068","1,089","1,141","1,182","1,319","1,469","1,530","1,558","1,613","1,633","1,643","1,683","1,735","1,797","1,801","1,814","1,835","1,857","1,859","1,869","1,877","1,880","1,884","1,889","1,905","1,915","1,924","1,946","1,950","1,950","1,950","1,951","1,991","2,001","2,010","2,014","2,033","2,037","2,039","2,047","2,054","2,066","2,069","2,074","2,076","2,077","2,081","2,094","2,154","2,454","2,511","2,617","2,646","2,665","2,671","2,687","2,697","2,704","2,724","2,730","2,730","2,752","2,753","2,764","2,770","2,782","2,805","2,810","2,810","2,814","2,815","2,815","2,823","2,828","2,834","2,839","2,839","2,839","2,841","2,844","2,871","2,880","2,881","2,882","2,886","2,890","2,893","2,900","2,902","2,902","2,918","2,941","2,947","2,953","2,959","2,971","2,984","2,986","2,989","2,995","3,012","3,049","3,092","3,101","3,111","3,115","3,121","3,123","3,123","3,140","3,147","3,155","3,169","3,195","3,234","3,262","3,271","3,271","3,276","3,281","3,283","3,287","3,299","3,313","3,324","3,333","3,345","3,349","3,360","3,363","3,374","3,380","3,382","3,388","3,395","3,402","3,513","4,252","4,459","4,488","4,523","4,628","4,752","4,844","5,038","5,170","5,244","5,354","5,475","5,538","5,625","5,811","5,978","6,287","7,153","7,521","7,872","8,413","8,870","9,205","9,791","10,424","10,663","11,060"
Georgia,348,370,388,394,402,408,416,425,444,456,486,497,511,517,539,566,582,589,593,604,610,615,623,626,635,638,642,647,667,671,683,695,701,707,713,721,723,728,730,731,732,735,738,746,757,783,794,796,800,801,805,808,809,812,818,827,831,843,851,864,879,879,888,893,896,898,906,908,911,914,917,919,921,924,926,928,931,939,943,948,951,953,958,963,968,973,981,986,995,999,"1,004","1,006","1,010","1,018","1,028","1,039","1,049","1,073","1,085","1,104","1,117","1,131","1,137","1,145","1,155","1,160","1,168","1,171","1,177","1,179","1,182","1,197","1,206","1,213","1,216","1,225","1,250","1,264","1,278","1,283","1,306","1,321","1,336","1,341","1,351","1,361","1,370","1,385","1,394","1,411","1,421","1,429","1,436","1,447","1,455","1,462","1,469","1,487","1,510","1,548","1,568","1,596","1,621","1,650","1,684","1,729","1,773","1,830","1,917","2,075","2,227","2,392","2,562","2,758","2,937","3,119","3,306","3,502","3,695","3,913","4,140","4,399","4,664","4,960","5,254","5,552","5,866","6,192","6,640","7,093","7,564","8,118","8,696","9,245","9,753","10,225","10,752","11,271","11,794","12,272","12,841","13,521","14,440","15,327","16,285","17,477","18,663","19,857","21,208","22,803","24,562","26,503","28,431","30,303","32,127","33,858","35,567","37,263","38,936","40,727"
Guatemala,196,214,235,257,289,294,316,342,384,430,473,500,530,557,585,599,644,688,703,730,763,798,832,900,967,"1,052","1,114","1,199","1,342","1,518","1,643","1,763","1,912","2,001","2,133","2,265","2,512","2,743","3,054","3,424","3,760","3,954","4,145","4,348","4,607","4,739","5,087","5,336","5,586","5,760","6,154","6,485","6,792","7,055","7,502","7,866","8,221","8,561","8,982","9,491","9,845","10,272","10,706","11,251","11,868","12,509","12,755","13,145","13,769","14,540","14,819","15,619","15,828","16,397","16,930","17,409","18,096","19,011","21,293","22,501","23,248","23,972","24,787","25,411","26,658","27,619","28,598","29,355","29,742","30,872","32,074","32,939","33,809","38,042","38,677","39,039","40,229","41,135","42,192","43,283","44,492","45,053","45,309","46,451","47,605","48,826","49,789","50,979","51,306","51,542","52,365","53,509","54,339","55,270","56,189","56,605","56,987","57,966","59,089","60,284","61,428","62,313","62,562","62,944","63,847","64,881","65,983","66,941","67,856","68,188","68,533","69,651","70,714","71,856","72,921","73,679","73,912","74,074","74,893","75,644","76,358","77,040","77,481","77,683","77,828","78,721","79,622","80,306","81,009","81,658","81,909","82,172","82,684","82,924","83,664","84,344","85,152","85,444","85,681","86,623","87,442","87,933","88,878","89,702","90,092","90,263","90,968","91,746","92,409","93,090","93,748","93,963","94,182","94,870","95,704","96,480","96,935","97,544","97,715","97,826","98,380","99,094","99,765","100,431","101,028","101,360","101,599","102,219","102,415","103,172","103,902","104,632","104,787","104,894","105,571","106,320","106,790","107,339","107,939","108,104"
Malta,412,422,426,427,431,443,444,445,447,448,448,450,458,463,465,467,468,477,480,482,484,486,489,490,496,503,506,508,522,532,546,553,558,569,584,599,600,609,610,611,611,612,616,616,618,618,619,620,622,622,625,627,629,630,632,635,640,645,646,649,650,656,662,663,663,664,665,665,665,665,668,670,670,670,670,670,671,671,672,672,672,672,673,673,674,674,674,674,674,674,674,674,674,676,677,677,677,679,680,686,686,700,701,708,720,814,824,845,860,874,890,926,946,995,"1,035","1,089","1,112","1,141","1,190","1,245","1,276","1,243","1,306","1,375","1,423","1,470","1,510","1,546","1,577","1,612","1,667","1,705","1,751","1,788","1,820","1,847","1,862","1,883","1,909","1,931","1,965","1,984","2,014","2,039","2,076","2,099","2,162","2,204","2,247","2,274","2,352","2,405","2,454","2,560","2,595","2,634","2,699","2,731","2,776","2,814","2,856","2,898","2,929","2,958","2,979","3,006","3,035","3,058","3,095","3,139","3,204","3,270","3,327","3,374","3,442","3,506","3,581","3,681","3,776","3,844","3,937","4,048","4,160","4,282","4,486","4,628","4,737","4,871","5,026","5,137","5,258","5,373","5,498","5,578","5,685","5,760","5,866","5,942","6,042","6,182"
Jordan,402,407,413,417,425,428,435,437,441,444,447,449,449,451,453,459,460,461,465,471,473,494,508,522,540,562,576,582,586,596,607,613,629,649,672,684,700,704,708,711,718,720,728,730,734,739,746,755,757,765,784,795,808,831,845,863,890,915,953,961,979,981,987,"1,001","1,008","1,015","1,033","1,042","1,047","1,071","1,086","1,104","1,111","1,121","1,128","1,132","1,133","1,136","1,147","1,150","1,164","1,167","1,169","1,169","1,169","1,173","1,176","1,179","1,183","1,198","1,201","1,206","1,209","1,214","1,218","1,223","1,113","1,120","1,131","1,146","1,154","1,168","1,176","1,182","1,187","1,191","1,193","1,208","1,213","1,218","1,224","1,231","1,232","1,237","1,246","1,252","1,268","1,283","1,303","1,320","1,329","1,339","1,378","1,398","1,438","1,482","1,498","1,532","1,576","1,609","1,639","1,716","1,756","1,801","1,869","1,893","1,966","2,034","2,097","2,161","2,233","2,301","2,353","2,411","2,478","2,581","2,659","2,739","2,945","3,062","3,314","3,528","3,677","3,852","4,131","4,344","4,540","4,779","5,045","5,679","6,042","6,591","7,211","8,061","8,492","9,226","10,049","11,825","13,101","13,650","14,749","15,640","17,464","19,001","20,200","21,517","22,763","23,998","24,926","26,073","28,127","30,550","33,009","34,548","36,053","37,573","38,937","40,972","43,620","46,441","48,930","50,750","53,087","55,055","58,855","61,942","65,385","69,306","72,607","75,866"
DRC,267,287,307,327,332,350,359,377,394,416,442,459,471,491,572,604,674,674,682,705,797,863,863,937,991,"1,024","1,102","1,169","1,242","1,298","1,455","1,455","1,538","1,629","1,731","1,835","1,945","2,025","2,141","2,297","2,403","2,546","2,660","2,833","2,966","3,070","3,195","3,326","3,495","3,644","3,764","3,878","4,016","4,106","4,259","4,390","4,515","4,637","4,724","4,778","4,837","4,974","5,100","5,283","5,477","5,672","5,826","5,924","6,027","6,213","6,411","6,552","6,690","6,827","6,939","7,039","7,122","7,189","7,311","7,379","7,411","7,432","7,432","7,432","7,846","7,905","7,971","8,033","8,075","8,135","8,163","8,199","8,249","8,324","8,403","8,443","8,534","8,626","8,720","8,767","8,801","8,831","8,844","8,873","8,931","9,010","9,070","9,084","9,115","9,133","9,178","9,253","9,309","9,355","9,436","9,454","9,489","9,499","9,538","9,589","9,605","9,638","9,676","9,706","9,721","9,741","9,757","9,802","9,811","9,830","9,842","9,891","9,912","9,915","9,994","10,007","10,045","10,097","10,104","10,114","10,125","10,149","10,178","10,210","10,233","10,292","10,324","10,343","10,361","10,385","10,390","10,390","10,401","10,414","10,442","10,456","10,488","10,515","10,519","10,523","10,537","10,555","10,578","10,593","10,612","10,624","10,631","10,659","10,685","10,729","10,752","10,760","10,778","10,789","10,804","10,822","10,835","10,841","10,851","10,868","10,872","10,935","10,935","10,999","11,000","11,006","11,052","11,066","11,066","11,097","11,122","11,143","11,143","11,174","11,191","11,211","11,253","11,306","11,306","11,373"
