Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13,August14,August15,August16,August17,August18,August19,August20,August21,August22,August23
Bosnia and Herzegovina,"4,494","4,801","5,141","5,431","5,650","5,851","6,134","6,533","6,533","7,521","7,873","8,175","8,413","8,879","9,386","9,808","9,992","10,341","10,478","10,758","11,123","11,639","11,639","12,189","12,583","12,899","13,244","13,527","13,952","14,360","14,781","15,178","15,632","16,445","16,943","17,362","17,517","17,879","18,135","18,258","18,439","18,617",47,"19,374","19,688","19,870","20,077","20,328","20,703","20,933","21,222","21,223","21,223","21,884","22,095","22,359","22,664","22,906","22,906","22,907","23,615","23,616","24,099","24,099","24,694","24,695","24,695","24,696","25,893","25,894","26,644","26,989","26,989","26,990","27,979","28,338","28,691","29,228","29,793","29,793","29,794","30,907","31,313","31,809","32,380","32,928","33,420","33,772","34,005","34,006","34,862","35,388","35,948","36,451","36,708","37,056","37,702","38,274","38,818","39,316","39,317","39,318","40,451","40,451","41,402","41,965","42,496","42,497","42,497","43,432","43,911","44,395","44,842","45,169","45,170","45,170","46,469","47,120","47,600","48,070","48,689","49,115","49,116","49,770","50,300","50,939","51,515","52,731","52,731","52,732"
New Zealand,"14,549","15,429","16,399","17,258","17,897","18,562","19,658","21,002","22,446","23,851","25,088","25,698","26,143","26,690","27,906","29,011","30,191","31,152","31,665","32,335","33,325","34,843","36,463","37,957","39,468","40,270","40,870","42,106","43,514","45,002","46,485","47,358","47,891","48,538","49,551","50,818","51,940","53,102","53,786","54,233","52,609","53,465",4,"55,147","55,751","56,173","56,298","56,429","56,681","57,211","57,773","58,214","58,785","58,945","59,155","59,681","60,351","60,941","61,536","62,033","62,198","62,503","63,224","64,210","65,465","67,005","68,195","68,875","69,735","71,569","73,655","75,620","77,454","78,518","79,461","79,461","80,366","81,032","81,772","82,352","82,352","83,022","83,350","83,776","84,393","84,908","85,319","85,684","85,893","86,216","86,628","87,210","87,707","88,188","88,460","88,597","88,798","89,720","89,720","90,285","90,746","91,097","91,207","91,428","91,975","92,479","92,974","93,574","94,054","94,393","94,714","95,542","96,545","97,348","98,855","98,855","99,280","99,654","99,654","101,699","104,839","109,606","114,340","119,541","123,224","127,829","131,446","134,587","137,038","138,438"
Lithuania,"17,829","19,506","21,605","23,522","24,374","25,990","28,275","30,706","33,425","36,347","38,382","39,223","41,072","43,420","46,121","48,771","50,792","52,044","52,907","54,772","57,486","60,276","63,252","66,243","67,558","68,532","70,671","73,565","76,373","79,308","82,169","83,891","84,767","87,152","90,083","92,810","95,029","97,174","98,219","99,019","100,919","103,188",25,"107,914","109,877","111,140","111,876","113,668","115,650","117,830","119,763","121,579","122,392","123,224","124,839","126,796","128,782","130,723","132,420","133,474","134,070","135,694","137,912","137,917","141,823","143,394","144,169","144,877","146,334","148,332","149,335","150,924","152,372","153,093","153,697","155,346","157,335","158,891","160,448","161,841","161,847","162,933","163,312","164,637","166,110","167,530","168,849","169,482","169,693","171,071","171,077","173,807","175,033","176,462","177,043","177,437","178,774","180,121","181,597","182,847","182,854","184,863","185,373","186,617","188,110","189,712","191,239","192,921","193,611","194,130","195,531","197,326","198,955","200,647","202,426","203,113","203,623","205,202","206,644","208,207","210,009","212,075","212,985","213,638","215,188","216,986","218,825","220,687","222,601","223,509"
Slovenia,"18,344","18,918","19,520","19,849","20,107","20,672","21,374","21,984","21,984","23,175","23,557","23,862","24,190","24,824","25,469","25,469","26,465","26,706","27,660","27,660","28,343","28,850","28,850","29,921","30,221","30,480","31,048","31,600","32,074","32,566","33,119","33,365","33,596","34,138","35,268","35,705","36,130","36,130","36,130","36,742","37,105","37,494",52,"38,137","38,432","38,432","38,677","38,994","39,383","39,781","40,179","40,523","40,664","40,765","41,157","41,512","41,876","42,214","42,552","42,692","42,794","43,067","43,541","43,541","43,975","44,985","45,349","45,480","45,953","46,541","47,124","47,529","47,951","48,252","48,396","48,918","49,591","50,167","50,780","50,820","50,820","51,822","52,717","53,490","54,101","54,770","55,328","55,597","55,808","56,394","56,929","57,426","57,912","58,406","58,637","58,816","58,597","59,808","60,258","60,666","61,108","61,108","61,540","61,961","62,403","62,826","63,267","63,696","63,876","64,006","64,434","64,903","65,274","65,636","65,636","65,636","65,796","66,304","66,304","66,716","68,245","68,742","68,926","69,115","69,665","70,190","70,752","70,752","70,752","70,751"
North Macedonia,"5,002","5,212","5,547","5,697","5,697","5,923","6,240","6,551","6,551","7,084","7,257","7,257","7,570","7,704","7,704","8,063","8,158","8,278","8,332","8,332","8,561","8,720","8,837","9,034","9,034","9,235","9,326","9,475","9,642","9,863","10,085","10,289","10,426","10,682","10,928","11,191","11,528","11,885","12,129","12,253","12,403","12,702",58,"13,288","13,826","14,196","14,545","14,969","15,437","15,894","15,894","17,026","17,436","17,773","18,246","18,735","19,202","19,703","20,285","20,659","21,062","21,625","22,293","22,940","22,940","24,184","24,556","24,904","25,559","26,138","26,752","27,268","27,789","27,789","27,789","29,170","29,170","30,423","31,121","31,743","31,743","32,668","33,324","34,185","34,891","35,789","35,789","35,789","37,503","38,107","38,771","38,771","39,943","40,759","41,193","41,540","42,325","43,057","43,057","44,423","45,163","45,680","46,172","46,823","46,823","48,450","49,111","49,889","50,571","50,902","51,300","52,024","52,773","53,659","54,536","55,107","55,107","56,387","57,168","58,055","58,055","60,061","60,615","60,615","61,889","62,802","63,596","64,472","64,472","64,472"
Slovakia,"6,311","6,911","7,501","8,110","8,560","9,053","9,643","10,517","11,221","12,105","12,991","13,572","13,896","14,898","15,738","16,681","17,358","17,624","17,914","18,291","19,160","20,105","20,965","21,681","21,954","22,098","22,475","23,268","24,162","24,894","25,642","26,095","26,273","26,647","27,264","27,801","28,305","28,715","29,017","29,135","29,403","29,923",5,"30,692","31,321","31,615","31,665","32,841","33,269","33,660","33,995","34,479","34,695","34,724","34,880","35,163","35,437","35,669","35,945","36,033","36,041","36,197","36,410","36,554","36,701","36,935","36,990","36,998","37,119","37,349","37,520","37,798","38,093","38,263","38,275","38,418","38,796","39,109","39,439","39,844","39,992","40,002","40,161","40,569","40,987","41,385","41,912","42,088","42,139","42,352","42,756","43,184","43,525","43,920","43,995","43,995","44,610","45,081","45,493","45,868","46,285","46,425","46,465","46,748","47,169","47,169","47,906","48,434","48,541","48,682","48,923","49,388","49,877","50,329","50,897","51,093","51,196","51,462","52,035","52,537","53,039","53,631","54,000","54,088","54,378","55,052","55,681","55,693","56,978","57,293"
Cuba,"1,928","2,059","2,234","2,382","2,525","2,685","2,685","3,023","3,190","3,354","3,516","3,516","3,841","4,003","4,180","4,362","4,547","4,727","4,904","5,095","5,266","5,440","5,612","5,612","5,945","6,108","6,282","6,456","6,634","6,831","7,048","7,232","7,404","7,553","7,706","7,860","8,026","8,177","8,304","8,304","8,564","8,564",7,"8,926","9,104","9,104","9,450","9,569","9,742","9,927","10,105","10,282","10,461","10,641","10,824","11,031","11,216","11,400","11,621","11,809","12,029","12,257","12,462","12,462","12,914","13,138","13,138","13,528","13,718","13,895","13,895","14,088","14,476","14,685","14,685","15,079","15,279","15,279","15,483","15,953","16,169","16,467","16,739","16,991","16,991","17,541","17,836","17,836","17,836","18,667","18,667","18,667","19,489","19,750","19,993","19,993","20,493","20,732","20,997","21,269","21,545","21,826","22,110","22,405","22,691","22,691","23,322","23,631","23,926","24,234","24,533","24,863","25,205","25,553","25,876","26,252","26,629","26,987","27,363","27,768","28,205","28,611","28,933","28,933","29,697","30,137","30,589","30,589","30,589","31,883"
Bulgaria,"2,663","2,663","3,802","3,802","3,802","3,802","3,886","3,886","3,886","3,886","3,886","3,886","3,886","6,506","6,506","6,694","6,856","6,856","7,073","7,239","7,450","7,618","7,819","8,074","8,237","8,295","8,450","8,649","8,873","9,105","9,272","9,429","9,481","9,607","9,814","10,089","10,297","10,528","10,656","10,720","10,763","10,987",19,"11,419","11,613","11,701","11,751","11,926","12,120","27,868","12,643","12,933","12,994","13,197","13,453","13,785","14,165","14,166","14,830","15,033","15,292","15,586","15,882","16,185","16,527","16,723","16,804","17,204","17,628","18,063","18,463","18,859","19,079","19,228","19,880","20,361","20,779","21,233","21,599","21,972","22,106","22,505","23,005","23,622","24,153","24,807","25,212","25,385","25,866","26,570","27,347","28,287","28,991","29,280","29,735","30,266","31,039","31,930","32,782","33,642","33,953","34,458","35,011","35,775","36,697","37,654","38,459","39,029","39,244","39,841","40,609","41,431","42,358","43,200","43,721","43,906","44,435","45,212","45,948","46,796","47,652","48,048","48,162","48,919","49,449","50,696","51,683","52,602","53,093","53,424"
Nigeria,24,35,35,35,35,39,39,39,49,49,53,53,53,62,62,76,80,85,90,95,103,109,116,116,116,131,138,143,149,149,160,165,172,180,186,195,204,211,216,216,216,216,1,286,296,296,311,320,339,347,355,365,373,380,388,403,415,430,439,451,458,468,504,515,527,527,551,562,571,583,593,607,617,632,642,651,672,687,703,719,733,742,742,823,834,852,864,879,889,903,965,980,"1,000","1,015","1,028","1,038","1,057","1,201","1,220","1,240","1,257","1,272","1,290","1,297","1,321","1,321","1,321","1,375","1,385","1,392","1,400","1,473","1,485","1,504","1,504","1,536","1,536","1,548","1,636","1,652","1,666","1,681","1,681","1,705","1,705","1,705","1,705","1,789","1,788","1,788"
Ivory Coast,,,,,,,,,,,,,,,366,382,398,409,409,434,434,467,467,467,518,518,554,579,581,580,580,696,708,708,729,801,845,845,891,924,954,970,1,"1,009","1,022","1,027","1,051","1,068","1,084","1,110","1,134","1,163","1,198","1,228","1,248","1,271","1,301","1,336","1,364","1,396","1,429","1,466","1,512","1,573","1,635","1,678","1,713","1,745","1,794","1,834","1,872","1,931","1,982","2,006","2,045","2,122","2,191","2,251","2,299","2,358","2,442","2,497","2,546","2,615","2,668","2,751","2,837","2,889","2,932","2,957","3,026","3,054","3,082","3,129","3,172","3,172","3,277","3,320","3,404","3,404","3,545","3,600","3,637","3,662","3,709","3,774","3,810","3,844","3,885","3,901","3,920","3,920","3,956","3,991","4,037","4,117","4,147","4,173","4,173","4,202","4,236","4,269","4,286","4,325","4,359","4,413","4,426","4,461","4,503","4,545"
Hong Kong,"15,509","17,579","17,579","17,579","17,579","17,579","17,579","17,579","17,579","19,426","19,426","19,426","19,426","19,426","20,674","20,674","20,674","20,674","20,674","20,674","20,674","20,674","20,674","22,448","22,448","22,448","22,448","22,448","22,471","22,471","22,470","22,470","22,469","22,469","22,468","22,468","22,467","27,091","27,091","27,090","27,090","27,089",0.5,"27,088","27,087","27,087","27,086","27,085","27,085","27,084","27,084","27,083","27,082","27,082","27,081","32,293","32,293","32,292","32,291","32,290","36,733","36,732","36,731","36,731","40,174","40,173","40,172","40,171","40,171","40,170","42,889","42,888","42,887","42,886","42,885","42,884","42,883","42,882","42,881","46,335","46,334","46,333","46,332","46,331","46,330","46,329","46,328","50,227","50,226","50,225","50,223","58,971","58,970","58,968","58,967","58,966","58,964","58,963","58,962","69,988","69,986","69,985","69,983","69,981","69,980","69,978","79,173","79,172","79,170","79,168","79,166","79,165","92,287","92,285","92,282","92,280","92,278","92,276","92,274","92,272","103,995","103,992","103,990","103,988","103,986","103,983","103,981","103,979","103,976","103,974"
Djibouti,"6,508","7,577","7,577","8,243","8,243","9,064","10,397","10,748","11,225","11,570","11,884","12,399","12,724","13,143","13,585","13,918","14,024","14,024","14,395","14,553","14,715","14,930","15,037","15,239","15,490","15,982","16,288","16,623","16,882","17,115","17,346","17,777","18,601","19,196","20,334","21,448","22,402","22,401","22,400","23,456","23,455","23,454",20,"25,598","26,721","26,720","28,638","30,800","30,798","33,936","35,008","35,628","35,627","36,975","36,974","38,738","39,809","40,878","41,382","41,380","41,379","41,377","41,375","44,428","44,426","44,424","45,165","45,446","45,778","46,127","46,379","46,567","46,565","46,564","46,673","47,068","47,348","47,347","48,065","48,063","48,498","48,747","48,745","49,214","50,332","51,139","51,137","51,308","52,146","52,447","52,864","53,511","53,920","53,918","54,302","54,854","55,293","55,672","56,067","56,353","56,351","56,608","56,993","57,350","57,348","57,345","57,343","57,341","58,202","58,718","59,077","60,554","60,552","60,549","60,547","60,886","61,306","61,843","62,552","62,992","63,384","63,381","63,652","63,950","63,948","64,119","64,116","64,856","64,854","65,320"
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788,788,787,787,787,787,787,787,"1,049","1,048","1,100","1,100","1,100","1,100",2,"1,100","1,100","1,100","1,100","1,100","1,100","1,099","1,099","1,099","1,099","1,099","1,099","1,099","1,099","1,099","1,099","1,099","1,099","1,099","1,098","1,098","1,098","1,098","1,098","1,098","1,098","1,098","1,098","1,098","1,098","1,098","1,097","1,097","1,097","1,097","1,097","1,097","1,097","1,097","1,097","1,097","1,097","1,097","1,096","1,096","1,096","1,096","1,096","1,096","1,096","1,096","1,096","1,096","1,096","1,096","1,095","1,095","1,095","1,095","1,095","1,095","1,095","1,095","1,095","1,095","1,095","1,095","1,095","1,094","1,094","1,094","1,094","1,094","1,094","1,094","1,094","1,094","1,094","1,094","1,094","1,093","1,093","1,189","1,288","1,373","1,459","1,459"
Tunisia,"1,179","1,239","1,239","1,362","1,463","1,537","1,596","1,642","1,679","1,727","1,761","1,784","1,817","1,867","1,942","1,991","2,035","2,065","2,103","2,129","2,162","2,197","2,320","2,479","2,479","2,777","2,867","2,904","3,095","3,208","3,370","3,436","3,526","3,526","3,704","3,838","3,950","3,950","4,036","4,106","4,106","4,160",4,"4,267","4,334","4,394","4,446","4,477","4,502","4,534","4,585","4,628","4,687","4,692","4,692","4,732","4,759","4,849","4,975","5,070","5,153","5,200","5,326","5,386","5,494","5,545","5,674","5,690","5,690","5,764","5,782","5,800","5,800","5,850","5,850","5,883","5,926","5,975","6,024","6,065","6,168","6,206","6,227","6,295","6,390","6,464","6,563","6,646","6,694","6,694","6,812","6,874","6,970","7,024","7,089","7,124","7,196","7,265","7,345","7,429","7,552","7,552","7,624","7,715","7,715","7,970","8,104","8,104","8,140","8,161","8,220","8,353","8,478","8,477","8,741","8,850","8,904","8,986","9,088","9,196","9,196","9,424","9,551","9,630","9,749","9,893","10,071","10,070","10,383","10,572"
Bolivia,187,187,306,306,306,306,379,379,428,428,428,496,496,496,496,496,496,655,655,655,655,655,655,655,655,655,655,655,657,657,"1,270","1,270","1,270","1,270","1,270","1,270","1,270","1,270","1,270","1,913","1,912","1,912",24,"1,912","1,912","2,422","2,422","2,422","2,422","2,422","2,422","2,421","3,132","3,196","3,266","3,396","3,396","3,664","3,664","3,949","3,949","4,061","4,295","4,400","4,522","4,724","4,882","5,038","5,266","5,417","5,565","5,706","5,880","6,072","6,072","6,277","6,465","6,632","6,816","7,006","7,192","7,441","7,607","7,764","8,325","8,497","8,776","9,014","9,179","9,325","9,540","9,784","10,027","10,274","10,831","10,993","11,322","11,621","11,927","12,169","12,329","12,596","12,740","13,061","13,350","13,564","13,857","14,156","14,390","14,686","14,997","15,250","15,570","15,706","16,006","16,183","16,332","16,608","16,951","17,357","17,570","17,834","18,132","18,334","18,538","18,931","19,005","19,264","19,489","19,603"
Cyprus,"14,845","24,081","26,739","28,233","28,233","30,712","30,712","33,747","36,064","36,064","36,064","41,595","44,079","44,079","48,129","50,139","51,573","51,573","54,437","55,472","55,472","58,649","60,270","61,909","63,062","63,062","64,884","66,496","67,933","67,931","70,715","72,577","72,575","72,574","75,199","79,036","79,035","82,667","82,666","82,664","86,045","87,878",14,"92,219","95,884","97,305","97,303","97,301","97,299","102,190","103,842","103,840","103,838","103,836","103,834","110,482","111,614","111,611","116,100","117,135","117,133","118,401","119,401","119,399","120,264","121,563","121,561","121,558","122,930","124,975","124,973","125,885","125,882","128,741","128,738","128,736","128,733","132,733","134,004","135,409","136,603","136,600","138,626","138,624","138,621","138,618","138,615","138,613","138,610","138,607","138,604","148,771","148,768","148,765","148,762","152,274","152,271","154,718","158,060","158,057","160,364","160,361","162,648","162,645","162,642","162,639","162,636","162,632","172,191","173,840","179,274","179,270","179,267","182,192","182,189","190,405","190,401","198,310","198,306","198,303","198,299","198,295","198,291","198,287","218,401","218,396","218,392","218,388","218,383","218,379"
